iter	Passed	Remaining
0	0	798
1	1	749
2	2	758
3	2	741
4	3	723
5	4	708
6	5	728
7	5	738
8	6	725
9	7	719
10	8	728
11	8	717
12	9	705
13	9	699
14	10	703
15	11	691
16	12	699
17	12	696
18	13	693
19	14	688
20	14	685
21	15	684
22	16	684
23	16	679
24	17	670
25	17	662
26	18	655
27	18	650
28	19	644
29	19	641
30	20	637
31	20	632
32	21	627
33	21	623
34	22	621
35	23	621
36	23	619
37	24	616
38	24	612
39	25	609
40	25	606
41	26	610
42	27	610
43	28	609
44	28	607
45	29	611
46	30	609
47	30	609
48	31	607
49	31	605
50	32	602
51	32	600
52	33	599
53	34	595
54	34	592
55	35	590
56	35	589
57	36	586
58	36	583
59	37	582
60	37	581
61	38	579
62	38	578
63	39	576
64	40	577
65	40	577
66	41	578
67	42	586
68	43	591
69	44	590
70	45	590
71	45	589
72	46	587
73	46	586
74	47	585
75	48	584
76	48	583
77	49	582
78	49	580
79	50	578
80	51	579
81	51	579
82	52	578
83	52	577
84	53	576
85	54	575
86	54	574
87	55	572
88	55	570
89	56	573
90	57	574
91	58	574
92	58	574
93	59	575
94	60	575
95	60	573
96	61	570
97	61	567
98	62	566
99	62	565
100	63	565
101	64	565
102	64	565
103	65	563
104	65	560
105	66	560
106	66	558
107	67	557
108	68	557
109	68	556
110	69	555
111	69	554
112	70	553
113	71	554
114	72	557
115	73	557
116	73	557
117	74	556
118	74	555
119	75	554
120	76	553
121	76	552
122	77	551
123	78	551
124	78	549
125	79	548
126	79	548
127	80	547
128	80	546
129	81	545
130	81	543
131	82	542
132	83	541
133	83	540
134	84	539
135	84	539
136	85	539
137	86	539
138	86	538
139	87	538
140	88	537
141	88	537
142	89	536
143	90	535
144	90	535
145	91	533
146	91	532
147	92	531
148	93	531
149	93	530
150	94	529
151	94	529
152	95	529
153	96	528
154	96	527
155	97	527
156	98	526
157	98	526
158	99	525
159	100	526
160	101	526
161	101	526
162	102	526
163	103	525
164	103	525
165	104	525
166	105	525
167	105	524
168	106	524
169	107	523
170	107	522
171	108	522
172	108	519
173	109	519
174	109	518
175	110	517
176	111	516
177	111	515
178	112	514
179	112	514
180	113	513
181	114	513
182	115	514
183	115	513
184	116	513
185	117	512
186	117	511
187	118	510
188	118	510
189	119	509
190	120	508
191	120	508
192	121	507
193	122	507
194	122	506
195	123	504
196	123	504
197	124	503
198	124	502
199	125	502
200	126	501
201	126	500
202	127	499
203	128	499
204	128	498
205	129	498
206	130	498
207	130	497
208	131	497
209	132	496
210	132	496
211	133	495
212	134	495
213	134	494
214	135	495
215	136	495
216	137	495
217	137	494
218	138	493
219	138	492
220	139	492
221	140	491
222	141	491
223	141	491
224	142	490
225	143	490
226	143	489
227	144	489
228	145	488
229	145	488
230	146	487
231	147	486
232	147	486
233	148	486
234	149	485
235	149	485
236	150	484
237	150	483
238	151	482
239	152	482
240	152	481
241	153	480
242	154	479
243	154	479
244	155	478
245	155	477
246	156	477
247	157	476
248	158	476
249	159	477
250	159	477
251	160	476
252	161	476
253	161	475
254	162	474
