iter	RMSE
0	13.98307214
1	13.1248154
2	12.374721
3	11.6837585
4	10.98109061
5	10.55128811
6	10.04743742
7	9.623675568
8	9.195818494
9	8.787265733
10	8.395812994
11	8.098433776
12	7.843336411
13	7.603848411
14	7.352907205
15	7.133908933
16	6.932028628
17	6.764623584
18	6.617086942
19	6.48898137
20	6.373485273
21	6.271557646
22	6.163103216
23	6.067360076
24	5.980596475
25	5.902833156
26	5.82737019
27	5.763544151
28	5.706534313
29	5.654828782
30	5.609052945
31	5.554792424
32	5.517148728
33	5.483529633
34	5.444609767
35	5.403926182
36	5.374767253
37	5.348270731
38	5.322649791
39	5.298816893
40	5.278027899
41	5.258213888
42	5.239159156
43	5.22615139
44	5.208444508
45	5.186811859
46	5.172655856
47	5.156504538
48	5.139540535
49	5.127625692
50	5.114578818
51	5.103314905
52	5.094601606
53	5.093254449
54	5.081225286
55	5.069139513
56	5.059577731
57	5.050373404
58	5.042089717
59	5.031019775
60	5.018935471
61	5.012116092
62	5.001106494
63	4.991025185
64	4.974602197
65	4.973393728
66	4.963157458
67	4.95050508
68	4.929131053
69	4.915696597
70	4.907645123
71	4.897668488
72	4.879428495
73	4.870105595
74	4.857747783
75	4.844542033
76	4.840403077
77	4.834095038
78	4.821332139
79	4.816505075
80	4.8062203
81	4.7948055
82	4.785839836
83	4.781312985
84	4.772767559
85	4.771310315
86	4.76043922
87	4.755883861
88	4.754092053
89	4.743131623
90	4.732939121
91	4.727269746
92	4.714689185
93	4.713748679
94	4.705928656
95	4.703392811
96	4.700171889
97	4.690417061
98	4.689347358
99	4.675957364
