iter	Passed	Remaining
0	1	114
1	2	107
2	3	100
3	3	95
4	4	90
5	5	88
6	6	84
7	7	81
8	7	78
9	8	76
10	9	74
11	9	73
12	10	71
13	11	70
14	12	69
15	13	68
16	13	67
17	14	66
18	15	65
19	15	63
20	16	62
21	17	61
22	18	60
23	18	59
24	19	58
25	20	58
26	21	56
27	21	55
28	22	54
29	23	54
30	23	53
31	24	52
32	25	51
33	26	50
34	26	50
35	27	49
36	28	48
37	29	47
38	29	46
39	30	45
40	31	45
41	32	44
42	32	43
43	33	42
44	33	41
45	34	40
46	35	40
47	36	39
48	36	38
49	37	37
50	38	36
51	38	35
52	39	35
53	39	33
54	40	33
55	41	32
56	42	31
57	42	31
58	43	30
59	44	29
60	45	28
61	45	28
62	46	27
63	47	26
64	47	25
65	48	24
66	48	24
67	49	23
68	50	22
69	51	22
70	52	21
71	52	20
72	53	19
73	54	19
74	55	18
75	55	17
76	56	16
77	57	16
78	58	15
79	58	14
80	59	13
81	60	13
82	61	12
83	61	11
84	62	11
85	63	10
86	64	9
87	64	8
88	65	8
89	66	7
90	66	6
91	67	5
92	68	5
93	69	4
94	69	3
95	70	2
96	71	2
97	72	1
98	72	0
99	73	0
